pmid,id,journal,abstract
19286584,Hyvarinen 2009,stroke,"BACKGROUND AND PURPOSE: We examined the impact of hyperglycemia on ischemic and hemorrhagic stroke incidence comparing criteria based on fasting plasma glucose (FPG) and 2-hour plasma glucose (2-hour PG). METHODS: Data from 9 European cohorts comprising 18 360 individuals between 25 to 90 years of age were collaboratively analyzed. The maximum length of follow-up varied between 4.9 to 36.8 years. Hazards ratios (95% confidence intervals) for stroke incidence were estimated using Cox-proportional hazards model adjusting for known risk factors. RESULTS: In individuals without a prior history of diabetes, the multivariate adjusted hazards ratio for ischemic stroke corresponding to 1 SD increase in FPG was 1.12 (1.02 to 1.22) and in 2-hour PG 1.14 (1.05 to 1.24). Adding 2-hour PG to the model with FPG significantly improved the prediction of the model for the incidence of ischemic stroke (chi(2)=4.72, P=0.03), whereas FPG did not improve the 2-hour PG model prediction (chi(2)=0.25, P=0.62). A significantly increased hazard ratio was also observed for previously diagnosed diabetes (2.26 [1.51 to 3.38]) and for screen-detected diabetes defined by FPG (1.48 [1.08 to 2.02]) and 2-hour PG (1.60 [1.18 to 2.16]). None of the criteria predicted hemorrhagic stroke. CONCLUSIONS: Diabetes defined by either of the criteria predicted the future risk of ischemic stroke but not the hemorrhagic stroke. The prediction is stronger for elevated 2-hour PG than for FPG levels."
22413776,Intzilakis 2012,diabetic medicine,"Aim: As both impaired fasting glucose and silent myocardial ischaemia are risk factors for cardiovascular disease and death, we hypothesized that these risk factors in combination would identify those subjects at the highest risk of adverse events. Methods: Healthy individuals without diabetes (n=596, 55-75 years) were examined for silent myocardial infarction (≥ 1 mm ST-interval during ≥ 1 min) by ambulant 48-h continuous electrocardiogram monitoring and impaired fasting glucose (fasting plasma glucose 5.6-6.9 mmol/l). Results: After 6.3 years, 77 subjects met the endpoint of myocardial infarction and/or death. The prevalence of silent myocardial ischaemia at inclusion was 12.3% in subjects with impaired fasting glucose and 11.7% in subjects with normal fasting glucose, P=0.69. Subjects with impaired fasting glucose/silent myocardial ischaemia more often met the endpoint (36%) than subjects with impaired fasting glucose/no silent myocardial ischaemia (15%), subjects with normal fasting glucose/silent myocardial ischaemia (12%), and subjects with normal fasting glucose/no silent myocardial ischaemia (10%), respectively, (P<0.001). In a Cox model including these four study groups of interest, gender, age, smoking habits, blood pressure and total cholesterol, only subjects with impaired fasting glucose/silent myocardial ischaemia exhibited an increased risk of death or myocardial infarction (hazard ratio 2.5, P=0.016). Conclusion: The combination of impaired fasting glucose and silent myocardial ischaemia was associated with the poorest prognosis in middle-aged and older subjects without previously known glucose metabolic aberration and heart disease."
19019187,Janszky 2009,journal of internal medicine,"Objectives: Our objective was to examine fasting glucose and insulin levels in patients surviving 3 months after a first AMI in relation to long-term prognosis. Design: A total of 1167 consecutive patients between 45 and 70 years with a first nonfatal AMI underwent a standardized clinical examination and were followed for a mean of 8 years for total and cardiac mortality and hospitalization for nonfatal cardiovascular disease. Impaired fasting glucose (IFG) was defined as fasting glucose between 5.6 and 7 mmol L(-1) and a level >or=7 mmol L(-1) as newly detected diabetes. Patients with a fasting glucose level <5.6 mmol L(-1) and without a history of diabetes were classified as normoglycemic (NG). An estimate of insulin resistance was calculated using the homeostasis model assessment (HOMA). Results: We recorded 219 deaths, 121 deaths from cardiac causes, during the follow-up period. After adjustment for several potential confounders, hazard ratios for total mortality were 1.36 (95% confidence interval 0.93-1.99, P=0.11), 2.27 (1.26-4.09, P=0.006) and 2.15 (1.43-3.21, P<0.001) for patients with IFG, newly detected diabetes and history of diabetes when compared to the NG group. Cardiac mortality, risk of hospitalization for recurrent nonfatal AMI, stroke or heart failure generally showed a similar pattern to that of total mortality. Insulin level and HOMA values were also associated with increased risk for recurrent events. Conclusions: We confirmed that both known and newly detected diabetes is a strong prognostic factor in AMI. In addition, our findings suggest that glucose levels below the diabetes cut off value might also predict poor long-term prognosis when assessed in a metabolically stable phase."
31679008,Jiang 2020,journal of clinical endocrinology and metabolism,"Context: China has the largest number of people with type 2 diabetes mellitus (T2DM) in the world. Data from previous studies have suggested that up to one-fifth of individuals with diabetes would be missed without an oral glucose tolerance test (OGTT). To date, there is little information on the mortality risk of these individuals. Objective: We estimated the association of different indicators of hyperglycemia with mortality in the general Chinese population. Design: Prospective cohort study. Setting: China. Participants: A total of 17 939 participants aged 50+ years. Exposures: Previously diagnosed diabetes and newly detected diabetes defined by fasting glucose (≥7.0 mmol/L), 2-hour postload glucose (≥11.1 mmol/L), or hemoglobin A1c (HbA1c, ≥6.5%). Main outcomes measures: Deaths from all-cause, cardiovascular disease, and cancer were identified by record linkage with death registration. Results: During 7.8 (SD, 1.5) years' follow-up, 1439 deaths were recorded. Of 3706 participants with T2DM, 2126 (57%) had known T2DM, 118 (3%) were identified by isolated elevated fasting glucose, 1022 (28%) had isolated elevated postload glucose, and 440 (12%) had both elevated fasting and postload glucose. Compared with normoglycemia, the hazard ratio (95% confidence interval) of all-cause mortality was 1.71 (1.46-2.00), 0.96 (0.47-1.93), 1.43 (1.15-1.78), and 1.82 (1.35-2.45) for the 4 groups, respectively. T2DM defined by elevated HbA1c was not significantly associated with all-cause mortality (hazard ratio, 1.17; 95% confidence interval, 0.81-1.69). Conclusion: Individuals with isolated higher 2-h postload glucose had a higher risk of mortality by 43% than those with normoglycemia. Underuse of OGTT leads to substantial underdetection of individuals with a higher mortality risk and lost opportunities for early intervention."
16943263,Kaarisalo 2006,age and ageing,"OBJECTIVE: to determine whether impaired glucose tolerance (IGT) is associated with an increased likelihood for ischaemic stroke. DESIGN: prospective cohort study. PARTICIPANTS: a sample of 1,032 non-institutionalised people aged 70 years in the Turku Elderly Study, Turku, Finland. MEASUREMENTS: the association between IGT (defined as plasma glucose level between 7.80 and 11.09 mmol/l 2 h after administration of 75 g of an oral glucose load) and diabetes mellitus (DM) (defined as the current use of insulin or an oral hypoglycaemic medication, a fasting plasma glucose level of >/=7 mmol/l or a plasma glucose level of >/=11.1 mmol/l 2 h after administration of an oral glucose load) with 12-year follow-up for the development of ischaemic stroke. RESULTS: a total of 742 (71.9%) subjects had normal glucose tolerance, 127 (12.3%) subjects had IGT and 163 (15.8%) had DM. Patients were examined in the year 1990 and followed up for stroke occurrence until death or until the end of 2002. Mean follow-up time was 9.6 years (SD +/ 3.3 years). In total, 119 patients (11.5%) suffered a stroke during the follow up. In logistic regression model, previous stroke, previous TIA, DM and atrial fibrillation were risk factors for stroke occurrence. CONCLUSION: stroke tended to happen more often in the IGT group than in the normal group, but the difference was not statistically significant. Statistically significant risk factors for stroke in elderly people are previous TIA or stroke, DM and atrial fibrillation."
15677800,Kanaya 2005,diabetes care,"Objective: To create a simple prediction rule that could perform as well as the 2-h postchallenge plasma glucose (PCPG) test to predict those at risk for diabetes. We created a prediction rule in one sample and prospectively validated it for incident diabetes in a separate cohort. Research design and methods: A cross-sectional analysis with data from the Rancho Bernardo Study (age 67 +/- 11 years) to derive a rule predicting abnormal PCPG >/=140 mg/dl, using demographic, clinical, and laboratory data of nondiabetic participants with fasting plasma glucose (FPG) <126 mg/dl. Data from the Health, Aging and Body Composition study (age 74 +/- 3 years) were used to prospectively validate this rule for incident diabetes and compare it with the predictive ability of the PCPG test. Results: Of 1,549 RBS participants, 514 (33%) had PCPG >/=140 mg/dl. Female sex, age, triglycerides, and FPG were most significantly associated with abnormal PCPG. Based on standardized beta-coefficients, we allotted 1 point for female sex, triglycerides >/=150 mg/dl, or FPG 95-104 mg/dl. Age >/=70 years or FPG 105-115 mg/dl were given 2 points, and FPG 116-125 mg/dl received 3 points. In the validation cohort, this simple prediction rule was as good as the 2-h PCPG test for predicting incident diabetes (C-statistic: 0.71 for both). Conclusions: Advanced age, female sex, FPG, and triglycerides were able to predict adults at risk for diabetes equally well as the 2-h PCPG test. Using this rule, clinicians may better identify older persons who should receive intensive lifestyle intervention to prevent type 2 diabetes."
20940070,Khang 2010,atherosclerosis,"OBJECTIVE: We examined the risk of cardiovascular disease, stroke, ischaemic heart disease, and diabetes with the metabolic syndrome according to the new harmonised definition and its components using a national longitudinal data set from an Asian population. METHODS: Data of 9791 men and women aged 20+ from 1998 and 2001 Korea National Health and Nutrition Examination Surveys were individually linked to national hospitalisation and mortality data using unique personal identification numbers. During a 5.8-year follow-up through 2005, 288 incident cardiovascular events (184 strokes and 122 cases of ischaemic heart disease) and 85 new diabetes cases have been detected. RESULTS: Men and women with the metabolic syndrome had 48%, 39%, 64%, and 127% greater risks of cardiovascular disease, stroke, ischaemic heart disease, and diabetes, respectively, than those without the metabolic syndrome. The increased risks of cardiovascular disease, ischaemic heart disease, and diabetes remained significant after adjusting for health behaviours, bio-clinical factors, family history, and socio-demographic factors. Analysis results on population attributable risks showed that about a quarter of total diabetes occurrence and more than 10% of cardiovascular disease was attributable to the metabolic syndrome. The number of metabolic syndrome components was linearly associated with risks of outcomes. High blood pressure was significantly associated with all four outcomes while hypertriglyceridemia and hyperglycemia were also important for ischaemic heart disease and diabetes, respectively. CONCLUSIONS: Reduction of metabolic risk factors is necessary in South Korea to lower the burden of associated diseases, especially ever-increasing ischaemic heart disease and diabetes."
27334522,Khosravi 2017,journal of human hypertension,"The present study aimed to assess the value of pre-diabetes and pre-hypertension in predicting cardiovascular events. A population-based, cross-sectional survey was conducted, representing a large sample of the general Iranian population aged 35 years and older from the Isfahan Province and determined using a random, multistage cluster-sampling 10-year cohort. The five end points considered as study outcome were unstable angina (UA), acute occurrence of myocardial infarction (MI), sudden cardiac death (SCD), brain stroke and cardiovascular disease (CVD). Of the 6323 subjects scheduled for assessment of diabetes state 617 were diabetics and 712 were pre-diabetic. In addition, of these subjects, 1754 had hypertension and 2500 had pre-hypertension. Analysing only pre-hypertension, pre-diabetes and its combination and adjusted for gender and age variables, pre-hypertension and pre-diabetes status together, could only effectively predict occurrence of MI (hazard ratio (HR)=3.21, 95% confidence interval (CI): 1.06-9.76, P=0.04). In the same COX regression models, pre-hypertension status could predict UA and CVD occurrence (HR=2.94, 95% CI: 1.68-5.14, P<0.001 and HR=1.74, 95% CI: 1.23-2.47, P=0.002, respectively). However, pre-diabetes status could not predict any of these events after adjustment for gender and age. Our data provide valuable evidence of the triggering role of pre-hypertension and pre-diabetes together, on appearance and progression of MI even in healthy individuals and the significant predicting value of pre-hypertension on the occurrence of UA and CVD. In this regard, the value of pre-hypertension and pre-diabetes together, and the pre-hypertension state alone, are clearly superior to pre-diabetes state alone in predicting cardiovascular events."
18071000,Kim 2008,diabetes care,"OBJECTIVE: To evaluate whether impaired fasting glucose (IFG) and/or impaired glucose tolerance (IGT) are associated with increased risk of mortality and prevalent ischemic heart disease (IHD) and to analyze if the increased risk of death is dependent on subsequent development of diabetes in Pima Indians. RESEARCH DESIGN AND METHODS: A total of 2,993 Pima Indians aged >or=35 years were included. Prevalent IHD, defined by major ischemic electrocardiogram changes, was evaluated according to the following glucose/diabetes categories: normal glucose regulation (NGR), IFG and/or IGT, and diabetic groups by duration. During a median follow-up of 10.4 years, 780 subjects died from natural causes and 156 of these died from IHD. Mortality was analyzed according to the same glucose/diabetes categories at baseline and then as time-dependent variables. RESULTS: Only subjects with diabetes >or=15 years of duration have a higher prevalence of IHD (odds ratio 1.9 [95% CI 1.4-2.5]) relative to NGR. In baseline and time-dependent models, age- and sex-adjusted death rates from natural causes and from IHD were similar among the nondiabetic groups. Among diabetic subjects, natural mortality was higher in those with >or=15 years diabetes duration (death rate ratio [DRR] relative to NGR = 2.6 [95% CI 2.1-3.3]). IHD mortality was higher in subjects with long diabetes duration (DRR for diabetes 10-15 years = 3.8 [1.5-9.5]; DRR for diabetes >or=15 years = 8.6 [3.8-19.4]) in the time dependent model. CONCLUSIONS: Natural and IHD mortality are not increased in Pima Indians with IFG and/or IGT. Only after the onset of diabetes do the rates of these events increase relative to NGR."
23002083,Kim 2013,diabetes care,"OBJECTIVE: The relationship between impaired fasting glucose (IFG) and risk of cardiovascular disease (CVD) or ischemic heart disease (IHD) varies widely according to sex and ethnicity. We evaluated the relationship between IFG and CVD or IHD among Korean men and women. RESEARCH DESIGN AND METHODS: A total of 408,022 individuals who underwent voluntary private health examinations in 17 centers in South Korea were followed for 10 years. Data regarding CVD or IHD events were obtained from the Korean National Health Insurance database. IFG was categorized as grade 1 (fasting glucose 100-109 mg/dL) or grade 2 (110-125 mg/dL). RESULTS: Incidence rates of CVD (per 100,000 person-years) were 2,203 for diabetes. Age-adjusted hazard ratios (HRs) for CVD were 1.17 (95% CI 1.13-1.20) for grade 1 IFG, 1.30 (1.24-1.35) for grade 2 IFG, and 1.81 (1.75-1.86) for diabetes. The increased risk for women was similar to that of men. Age-adjusted HRs for IHD and ischemic stroke were also significantly increased for men and women with IFG and diabetes. After multivariate adjustment of conventional risk factors (hypertension, dyslipidemia, smoking, obesity, and family history of CVD), the overall risk of CVD was greatly attenuated in all categories. However, the HRs for IHD and ischemic stroke remained significantly increased in men for grade 2 IFG but not in women. CONCLUSIONS: In Korea, grade 2 IFG is associated with increased risk of IHD and ischemic stroke, independent of other conventional risk factors, in men but not in women."
24627827,Kim 2014,diabetes & metabolism journal,"Background: Although diabetes is a well-known risk factor for death, its impact on cancer death is not clearly understood. Furthermore, it remains controversial whether impaired fasting glucose (IFG) and/or impaired glucose tolerance (IGT) are associated with increased risk of mortality. We investigated the impact of diabetes or glucose tolerance categories on all cause and cause-specific mortality. Methods: Mortality analysis was conducted in three population-based cohort studies of 3,801 participants, divided according to fasting plasma glucose (FPG) (normal; stage 1 IFG [5.6≤FPG<6.1 mmol/L]; stage 2 IFG [6.1≤FPG<7.0 mmol/L]; diabetes mellitus [DM]-FPG); or 2-hour glucose after 75 g glucose loading (2hPG) (normal; IGT; DM-2hPG), or a combination of FPG and 2hPG criteria. Results: During a median follow-up of 11.0 years, 474 subjects died from all causes. Hazard ratios (HRs) for all cause death were higher in those with diabetes as defined by either FPG or 2hPG criteria than their normal counterparts (HR, 2.2, 95% confidence interval [CI], 1.6 to 2.9 for DM-FPG; HR, 2.0, 95% CI, 1.5 to 2.7 for DM-2hPG). Similarly, diabetes defined by either FPG or 2hPG was associated with cancer death (HR, 2.9, 95% CI, 1.7 to 5.0; and HR, 2.1, 95% CI, 1.2 to 3.9, respectively). Although neither IFG nor IGT conferred higher risk for death, when combining stage 2 IFG and/or IGT, the risk of all cause death was higher than in subjects with normal glucose regulation (HR, 1.3; 95% CI, 1.0 to 1.6). Conclusion: Diabetes is associated with higher risk of death from all causes and cancer. In subjects without diabetes, stage 2 IFG and/or IGT confers increased risk for mortality."
26355268,Kim 2016,journal of diabetes,"BACKGROUND: The aim of the present study was to compare the association between cardiovascular diseases (CVD) and prediabetes defined by either fasting plasma glucose (FPG), HbA1c, or their combination in a Korean population. METHODS: In all, 76 434 South Koreans who voluntarily underwent a general health examination in the Health Screening & Promotion Center (Asan Medical Center) were analyzed after excluding patients with a previous history of CVD. Cardiovascular events and death due to CVD during a median follow-up period of 3.1 years (interquartile range 1.9-4.3 years) were identified from the Nationwide Health Insurance Claims Database and death certificates using ICD-10 codes. RESULTS: Age- and sex adjusted hazard ratios (HRs) for overall CVD events were significantly greater for subjects with prediabetes defined by FPG only (HR 1.19; 95% confidence interval [CI] 1.08-1.31), HbA1c only (HR 1.28; 95% CI 1.16-1.42), and combined criteria (HR 1.20; 95% CI 1.09-1.32) compared with the normoglycemic group. After adjusting for multiple conventional risk factors (e.g. hypertension, low-density lipoprotein cholesterol, high-density lipoprotein cholesterol, smoking status, family history of CVD, and BMI), the HRs for overall CVD were significantly increased only for participants with prediabetes defined by HbA1c. Age- and sex adjusted HRs for major ischemic heart disease events were significantly increased for subjects with prediabetes defined either by HbA1c or combined criteria. Similarly, age- and sex-adjusted HRs for percutaneous coronary intervention were significantly higher for subjects with prediabetes defined by HbA1c only. For diabetes, the multivariate-adjusted HRs for all outcomes were significantly increased by all three criteria. CONCLUSIONS: Adding an HbA1c criterion when defining prediabetes in Koreans can help identify individuals with an increased risk of CVD."
28258257,Kim 2017,stroke,"BACKGROUND AND PURPOSE: Prediabetes is a known risk factor for vascular diseases; however, its differential contribution to mortality risk from various vascular disease subtypes is not known. METHODS: The subjects of the National Health Insurance Service in Korea (2002-2013) nationwide cohort were stratified into normal glucose tolerance (fasting glucose <100 mg/dL), impaired fasting glucose (IFG) stage 1 (100-109 mg/dL), IFG stage 2 (110-125 mg/dL), and diabetes mellitus groups based on the fasting glucose level. A Cox regression analysis with counting process formulation was used to assess the mortality risk for vascular disease and its subtypes-ischemic heart disease, ischemic stroke, and hemorrhagic stroke. RESULTS: When adjusted for age, sex, and body mass index, IFG stage 2, but not stage 1, was associated with significantly higher all-cause mortality (hazard ratio [HR], 1.26; 95% confidence interval [CI], 1.18-1.34) and vascular disease mortality (HR, 1.27; 95% CI, 1.08-1.49) compared with normal glucose tolerance. Among the vascular disease subtypes, mortality from ischemic stroke was significantly higher (HR, 1.60; 95% CI, 1.18-2.18) in subjects with IFG stage 2 but not from ischemic heart disease and hemorrhagic stroke. The ischemic stroke mortality associated with IFG stage 2 remained significantly high when adjusted other modifiable vascular disease risk factors (HR, 1.51; 95% CI: 1.10-2.09) and medical treatments (HR, 1.75; 95% CI, 1.19-2.57). CONCLUSIONS: Higher IFG degree (fasting glucose, 110-125 mg/dL) was associated with increased all-cause and vascular disease mortality. The increased vascular disease mortality in IFG stage 2 was attributable to ischemic stroke, but not ischemic heart disease or hemorrhagic stroke in Korean adults."
30992067,Kim 2019,bmc nephrology,"Background: The aim of the present study was to investigate the clinical impact of prediabetes on the development of incident chronic kidney disease (CKD) in a Korean adult population, using data from the Korea Genome and Epidemiology Study. Methods: This prospective cohort study included 7728 Korean adults without baseline CKD and type 2 diabetes. Prediabetes was defined by impaired fasting glucose (IFG), impaired glucose tolerance (IGT), and HbA1C level. CKD was defined as estimated glomerular filtration rate < 60 mL/min/1.73 m2. We assessed the predictive value of prediabetes for the incidence of CKD, and investigated the incidence of cardiovascular disease including coronary artery disease and stroke. Results: Over a median follow-up period of 8.7 years, 871 of 7728 (11.3%) subjects developed incident CKD. Patients with prediabetes, as defined by IGT or HbA1C, developed incident CKD more frequently than the non-prediabetic group did. The risk of CKD development at follow-up was analyzed according to different prediabetes definitions. Compared with the non-prediabetic group, the IGT- (Hazard ratio [HR] = 1.135, 95% confidence interval [CI] = 1.182-1.310, P = 0.043) and HbA1C-defined prediabetic groups (HR = 1.391, 95% CI = 1.213-1.595, P < 0.001) were significantly associated with incident CKD after adjusting for traditional CKD risk factors; however, IFG was not associated with incident CKD. Conclusion: IGT- or HbA1C-defined prediabetes is an independent predictor of incident CKD. The measurement of these parameters might enable early detection of CKD risk, allowing physicians to initiate preventive measures and improve patient outcomes."
20927111,Kokubo 2010,hypertension research,"Few prospective studies have examined the combined impact of blood pressure (BP) categories and glucose abnormalities on the incidence of cardiovascular disease (CVD) in the general Asian population. This study aimed to examine the effect of the combined risks of these factors on the incidence of CVD in a general Japanese population. We studied 5321 Japanese individuals (aged 30-79 years), without CVD at baseline, who received follow-up for an average of 11.7 years. Serum fasting glucose categories were defined according to the 2003 American Diabetes Association recommendations. BP categories were defined by the 2009 Japanese Society of Hypertension Guidelines for the Management of Hypertension. The Cox proportional hazard ratios (HRs) for CVD according to the serum glucose and BP categories were calculated. In 62,036 person-years of follow-up, we documented 364 CVD events (198 stroke and 166 coronary heart disease (CHD)). Compared with normoglycemic subjects, the multivariable HRs (95% confidence intervals (CIs)) for CVD, CHD and stroke were 1.25 (1.00-1.58), 1.46 (1.04-2.04) and 1.11 (0.81 1.52), respectively, in individuals with impaired fasting glucose (IFG), whereas these values were 2.13 (1.50-3.03), 2.28 (1.34-3.88) and 2.08 (1.29-3.35), respectively, in individuals with diabetes mellitus (DM). Compared with normoglycemic and optimal blood pressure (BP) subjects, increased risks of CVD were observed in the normoglycemic subjects with high-normal BP or hypertension, the IFG subjects with normal or higher BP, and the DM subjects regardless of BP category (P-value for interaction=0.046). In conclusion, the high-normal BP subjects in all glucose categories and the normal BP subjects with IFG showed increased risk of CVD in this Japanese population. Further investigation of larger cohorts of DM subjects should be conducted to better understand this phenomenon."
21785986,Kowall 2011,european journal of epidemiology,"We investigated the association of undiagnosed diabetes, previously known diabetes and prediabetes (WHO 1999 classification) with all-cause and cause specific mortality in an older German population. Previous study results for mortality in patients with very low levels of HbA1c, fasting plasma glucose (FPG), and 2-h plasma glucose (2hPG) are still inconclusive. Thus we have extended the analyses to continuous measures of glycemia. A total of 1,466 subjects aged 55-74 years from the population-based KORA survey S4 (conducted from 1999 to 2001) were included in our observational mortality study (152 subjects with previously known diabetes, and 1,314 further subjects who underwent oral glucose tolerance tests). Mortality was followed up for a maximum of 10.0 years (median follow-up 8.8 years). A total of 180 (12.3%) of the 1,466 subjects have died during the follow-up period. The age- and sex-adjusted hazard ratios for all-cause mortality were 2.6 (95%CI, 1.7-3.8) for known diabetes, 2.8 (95%CI, 1.7-4.4) for undiagnosed diabetes, and 1.1 (95%CI, 0.8-1.7) for prediabetes [reference: normal glucose tolerance (NGT)]. After multivariable adjustment, undiagnosed diabetes was associated with 3.0-fold increased cancer mortality, 1.1 fold increased cardiovascular mortality, and 4.7-fold increased non-cancer, non cardiovascular mortality compared with NGT. For HbA1c, FPG, and 2hPG, J-shaped associations with all-cause mortality were observed. Undiagnosed diabetes is associated with increased all-cause, cancer, and non-cancer non-cardiovascular mortality, but not with cardiovascular mortality in this older population. All cause mortality in undiagnosed diabetes is similar to that in previously known diabetes but much higher than mortality in prediabetes and NGT."
23248190,Laukkanen 2013,diabetes care,"OBJECTIVE: The aim of the study was to determine whether impaired fasting plasma glucose (FPG) and type 2 diabetes may be risk factors for sudden cardiac death (SCD). RESEARCH DESIGN AND METHODS: This prospective study was based on 2,641 middle-aged men 42-60 years of age at baseline. Impaired FPG level (>=5.6 mmol/L) among nondiabetic subjects (501 men) was defined according to the established guidelines, and the group with type 2 diabetes included subjects (159 men) who were treated with oral hypoglycemic agents, insulin therapy, and/or diet. RESULTS: During the 19-year follow-up, a total of 190 SCDs occurred. The relative risk (RR) for SCD was 1.51-fold (95% CI 1.07-2.14, P = 0.020) for nondiabetic men with impaired FPG and 2.86-fold (1.87-4.38, P < 0.001) for men with type 2 diabetes as compared with men with normal FPG levels, after adjustment for age, BMI, systolic blood pressure, serum LDL cholesterol, smoking, prevalent coronary heart disease (CHD), and family history of CHD. The respective RRs for out-of hospital SCDs (157 deaths) were 1.79-fold (1.24-2.58, P = 0.001) for nondiabetic men with impaired FPG and 2.26-fold (1.34-3.77, P < 0.001) for men with type 2 diabetes. Impaired FPG and type 2 diabetes were associated with the risk of all cause death. As a continuous variable, a 1 mmol/L increment in FPG was related to an increase of 10% in the risk of SCD (1.10 [1.04-1.20], P = 0.001). CONCLUSIONS: Impaired FPG and type 2 diabetes represent risk factors for SCD."
32181918,Lazo-Porras 2020,diabetic medicine,"Aim: To determine whether intermediate hyperglycaemia, defined by fasting plasma glucose and HbA1c criteria, is associated with mortality in a 10-year cohort of people in a Latin American country. Methods: Analysis of the PERU MIGRANT Study was conducted in three different population groups (rural, rural-to-urban migrant, and urban). The baseline assessment was conducted in 2007/2008, with follow-up assessment in 2018. The outcome was all-cause mortality, and the exposure was intermediate hyperglycaemia, using three definitions: (1) impaired fasting glucose, defined according to American Diabetes Association criteria [fasting plasma glucose 5.6-6.9 mmol/l (100-125 mg/dl)]; (2) intermediate hyperglycaemia defined according to American Diabetes Association criteria [HbA1c levels 39-46 mmol/mol (5.7-6.4%)]; and (3) intermediate hyperglycaemia defined according to the International Expert Committee criteria [HbA1c levels 42-46 mmol/mol (6.0-6.4%)]. Crude and adjusted hazard ratios and 95% CIs were estimated using Cox proportional hazard models. Results: At baseline, the mean (sd) age of the study population was 47.8 (11.9) years and 52.5% of the cohort were women. The study cohort was divided into population groups as follows: 207 people (20.0%) in the rural population group, 583 (59.7%) in the rural-to-urban migrant group and 198 (20.3%) in the urban population group. The prevalence of intermediate hyperglycaemia was: 6%, 12.9% and 38.5% according to the American Diabetes Association impaired fasting glucose definition, the International Expert Committee HbA1c -based definition and the American Diabetes Association HbA1c -based definition, respectively, and the mortality rate after 10 years was 63/976 (7%). Intermediate hyperglycaemia was associated with all-cause mortality using the HbA1c -based definitions in the crude models [hazard ratios 2.82 (95% CI 1.59-4.99) according to the American Diabetes Association and 2.92 (95% CI 1.62-5.28) according to the International Expert Committee], whereas American Diabetes Association-defined impaired fasting glucose was not [hazard ratio 0.84 (95% CI 0.26-2.68)]. In the adjusted model, however, only the American Diabetes Association HbA1c -based definition was associated with all-cause mortality [hazard ratio 1.91 (95% CI 1.03-3.53)], whereas the International Expert Committee HbA1c -based and American Diabetes Association impaired fasting glucose-based definitions were not [hazard ratios 1.42 (95% CI 0.75-2.68) and 1.09 (95% CI 0.33-3.63), respectively]. Conclusions: Intermediate hyperglycaemia defined using the American Diabetes Association HbA1c criteria was associated with an elevated mortality rate after 10 years in a cohort from Peru. HbA1c appears to be a factor associated with mortality in this Peruvian population."
18206734,Levitzky 2008,journal of the american college of cardiology,"OBJECTIVES: We sought to determine whether impaired fasting glucose (IFG) predicts cardiovascular disease (CVD) events. BACKGROUND: It is unclear which glucose threshold should define prediabetes. We compared the 1997 and 2003 American Diabetes Association (ADA) definitions of IFG to predict CVD. METHODS: Framingham offspring participants free of CVD, categorized by the 1997 ADA IFG definition (fasting plasma glucose 110 to 125 mg/dl; 6.1 to 6.9 mmol/l) or the 2003 definition (100 to 125 mg/dl; 5.6 to 6.9 mmol/l), were followed from 1983 to 2004. Pooled logistic regression was used to calculate multivariable-adjusted odds ratios (ORs) for incident coronary heart disease (CHD; 291 events) or CVD (423 events). RESULTS: Four-year CHD event rates among women were 1.3% (100 to 109 mg/dl), 2.3% (110 to 125 mg/dl), and 2.9% (diabetes); whereas corresponding rates in men were 2.9%, 3.0%, and 8.7%. For the 2003 IFG definition, the OR for CHD among women was 1.7 (95% confidence interval [CI] 1.0 to 3.0, p = 0.048), whereas for the 1997 IFG definition, the OR for CHD in women was 2.2 (95% CI 1.1 to 4.4, p = 0.02), which was almost as high as for women with diabetes (OR 2.5, 95% CI 1.2 to 5.2, p = 0.01). For CVD, only the 1997 IFG definition yielded significantly greater odds of CVD in women (OR 2.1, 95% CI 1.2 to 3.6, p = 0.01). Men were not at increased odds of developing CVD or CHD by either definition. CONCLUSIONS: In women, both IFG definitions were associated with increased CHD risk, whereas neither IFG definition identified men at increased short-term risk for CHD or CVD. The finding that women with FPG 110 to 125 mg/dl had similar CHD risk compared with women with diabetes suggests that CHD risk in women may be elevated at a lower glucose level than for men."
17383293,Liu 2007,american heart journal,"BACKGROUND: The relative contributions of the metabolic syndrome (MetS) and dysglycemia on the risk of cardiovascular disease (CVD) have not been dissected. We aimed to compare MetS with dysglycemia in their association with the 10-year incidence risk of CVD. METHODS: A total of 30,378 subjects were recruited from 11 provinces in the CMCS and followed-up for new coronary heart disease (CHD) and stroke events (ischemic stroke and hemorrhagic stroke) for 10 years. Incidence rates and HRs were estimated by the presence or absence of MetS, impaired fasting glucose (IFG) and diabetes, and by the various traits of MetS. RESULTS: Among the subjects, 18.2% were defined as having MetS; 21.1% had IFG, and 6.8% had diabetes. Metabolic syndrome prevalence in IFG and diabetes was 38.1% and 48.7%, respectively, and the prevalence of IFG and diabetes in MetS was 44.1% and 18.3%, respectively. After adjusting for nonmetabolic risk factors, HRs of total CVD, CHD, and ischemic stroke in MetS were significant and higher than those in non MetS, regardless of glycemic status. In the absence of MetS, the impact of dysglycemia was found only in IFG to CHD and diabetes to ischemic stroke. Hyperglycemia without any concomitant disorders was not associated with significantly higher risk of CVD. CONCLUSIONS: The increased CVD risk in individuals with IFG or diabetes was largely driven by the coexistence of multiple metabolic disorders rather than hyperglycemia per se. Identification of clustering of metabolic abnormalities should be given more consideration in CVD prevention."
